iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
50,executor,1663952768875,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.08304,None,None,None,20
51,executor,1663952768875,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.02944,None,None,None,20
52,executor,1663952768876,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.09888,None,None,None,20
53,executor,1663952768876,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.033248,None,None,None,20
54,executor,1663952768877,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.059648,None,None,None,20
55,executor,1663952768877,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.089984,None,None,None,20
56,executor,1663952768878,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.05952,None,None,None,20
57,executor,1663952768878,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.0864,None,None,None,20
58,executor,1663952768879,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.113472,None,None,None,20
59,executor,1663952768879,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.118912,None,None,None,20
