index,runtime,Valid,Timestamp
170,6.982,True,1668618647049
171,6.91,True,1668618649530
172,6.913,True,1668618651891
173,6.914,True,1668618654040
174,6.905,True,1668618656498
175,6.965,True,1668618658352
176,10.002,True,1668618660814
177,10.326,True,1668618661240
178,10.228,True,1668618661625
179,10.342,True,1668618663007
180,10.139,True,1668618664243
181,10.03,True,1668618665436
182,10.019,True,1668618666594
183,10.043,True,1668618667642
184,9.998,True,1668618668686
185,10.041,True,1668618670394
186,9.936,True,1668618671846
187,9.936,True,1668618673485
188,10.196,True,1668618675760
189,10.048,True,1668618677358
190,10.232,True,1668618679570
191,10.067,True,1668618681502
192,10.003,True,1668618683361
193,10.164,True,1668618685004
194,10.004,True,1668618686918
195,10.158,True,1668618688712
196,10.338,True,1668618690582
197,10.177,True,1668618695704
198,10.173,True,1668618698678
199,6.969,True,1668618701059
200,6.842,True,1668618769956
201,6.883,True,1668618770392
202,6.796,True,1668618770939
203,6.838,True,1668618771490
204,6.972,True,1668618772016
205,6.83,True,1668618772494
206,6.861,True,1668618773036
207,6.851,True,1668618774069
208,6.817,True,1668618775155
209,6.831,True,1668618777186
210,6.858,True,1668618779342
211,6.788,True,1668618781791
212,6.778,True,1668618784077
213,6.812,True,1668618786100
