iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
50,executor,1668618390654,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b015ab1812415f6cbb5f48538a214874b8705740b24d82211bde474773c3bff3,"[(id, 0)]",ExecutionSuccess,6.761,6.761,6.847,0.032774380238228894,5
51,executor,1668618393050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.836,6.836,13.338,2.4625784860588706,5
52,executor,1668618393418,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.888,6.888,12.723,2.2428142499993178,5
53,executor,1668618393799,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.894,6.894,14.192,2.788052983714621,5
54,executor,1668618394166,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.845,6.845,13.442,2.5067161466747687,5
55,executor,1668618394541,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.818,6.818,13.348,2.482138030005584,5
56,executor,1668618395669,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.774,6.774,13.176,2.4061213269492456,5
57,executor,1668618396780,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.794,6.794,12.943,2.3359555988930953,5
58,executor,1668618397874,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.772,6.772,10.533,1.448959433524624,5
59,executor,1668618398985,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.841,6.841,12.653,2.236570553324889,5
60,executor,1668618401564,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.782,6.782,14.279,3.018337423152024,5
61,executor,1668618404195,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.76,6.76,15.179,3.2266984612758596,5
62,executor,1668618407342,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.805,6.805,14.121,3.037758081217133,5
63,executor,1668618409554,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.794,6.794,16.073,3.5531782054943433,5
64,executor,1668618412053,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.787,6.787,13.332,2.6600561948951382,5
65,executor,1668618414741,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.776,6.776,15.06,3.225694120650624,5
66,executor,1668618417214,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.787,6.787,13.685,2.999758350267568,5
67,executor,1668618419456,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.773,6.773,15.288,3.230862881646326,5
68,executor,1668618422354,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.769,6.769,15.029,3.343755912144306,5
69,executor,1668618424712,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.77,6.77,11.164,1.6964987002647538,5
70,executor,1668618427162,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.769,6.769,16.174,3.5622381166901236,5
71,executor,1668618429689,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.766,6.766,21.097,5.388793608962957,5
72,executor,1668618432499,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.835,6.835,12.514,2.061191500079505,5
73,executor,1668618435043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.763,6.763,18.896,4.575653020061727,5
74,executor,1668618437561,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.796,6.796,14.478,2.9138145720000783,5
75,executor,1668618439859,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb0db72fc6e51546ce215b1691984cc615016e623ba230f0e1fc48189ea45ea4,"[(id, 0)]",ExecutionSuccess,6.811,6.811,14.283,2.848259960045782,5
76,executor,1668618441842,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4dc73937531e60c6bed864cc31d1fb98bac893e991a96e77063a9cf9db64f4ba,"[(id, 0)]",ExecutionSuccess,6.82,6.82,13.988,2.727455414850992,5
